Detector,TP,FP,FN,Precision,Recall,F1,AverageLatencyMs,ThroughputEventsPerSec
rule,68,0,1,1.0,0.9855072463768116,0.9927007299270074,529.4117647058823,0.5377199335653539
fuzzy,51,0,18,1.0,0.7391304347826086,0.85,372.54901960784315,0.40328995017401537
